doi,pmid,title,paper_type,relevance_score_llm,biological_context,data_modalities_used,annotation_status,llm_query_date,llm_model,is_method_paper,is_method_comparison_paper,review_type,methodology_type,covered_analysis_steps,pipeline_package_name,main_goals,data_links_mentioned,code_availability.status,code_availability.link_in_abstract_or_title,is_spatial_omics,is_disease_specific_review,is_pipeline_paper,is_review_paper,curated_data_modalities_used,modalities_general,tissue,disease,animal
10.1038/s41380-023-02288-5,37848708,Myelin-associated oligodendrocytic basic protein-dependent myelin repair confers the long-lasting antidepressant effect of ketamine.,application,relevant,Mouse models of depression (chronic social defeat stress) focusing on medial prefrontal cortex and hippocampus,['spatial transcriptomics'],weak_llm_annotated,2025-06-27T10:52:30.842599,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"To investigate the mechanisms underlying ketamine's long-lasting antidepressant effects, focusing on myelination changes in the mouse brain using spatial transcriptomics. The study aimed to identify myelin-related genes, demonstrate ketamine's effect on OPC differentiation and myelination, elucidate the role of Mobp, explore AMPAR signaling, and compare the effects of R-ketamine and S-ketamine on myelination.",[],Not mentioned,N/A,,,,,['general_spatial_transcriptomics'],['spatial_transcriptomics'],Nervous System (Brain/CNS),,Rodent
10.18632/aging.205128,37847178,Single-cell landscape and spatial transcriptomic analysis reveals macrophage infiltration and glycolytic metabolism in kidney renal clear cell carcinoma.,application,relevant,Kidney renal clear cell carcinoma (KIRC) and mouse kidney injury,"['sequencing', 'spatial transcriptomics', 'snRNA-seq', 'immunohistochemistry']",weak_llm_annotated,2025-06-27T10:52:51.136866,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"To investigate the clinical relevance of the glycolytic factor PGAM1 in kidney renal clear cell carcinoma (KIRC). The study uses multi-omics data including spatial and single-cell transcriptomics to analyze PGAM1's association with immune cell infiltration, prognosis, and potential as a therapeutic target in KIRC.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Immunohistochemistry(IHC)', 'Single-nucleus_RNA-seq(snRNA-seq)', 'other_methods']","['spatial_transcriptomics', 'spatial_proteomics', 'transcriptomics', 'other_methods']",Kidney,Cancer (General),Rodent
10.1038/s41593-023-01455-9,37845544,Spatial transcriptomics reveals the distinct organization of mouse prefrontal cortex and neuronal subtypes regulating chronic pain.,application,relevant,Adult mouse prefrontal cortex and chronic pain,"['spatial transcriptomics', 'single-cell transcriptome profiling']",weak_llm_annotated,2025-06-27T10:53:01.814812,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Cell-type identification', 'Spatial Gene Expression Analysis', 'Spatial Organization Analysis']",N/A,"To decode the cellular and circuit organization of the adult mouse prefrontal cortex using spatially resolved single-cell transcriptome profiling. The study aims to reveal distinct cell-type composition, gene-expression patterns, and neuronal subtypes, particularly focusing on those involved in chronic pain.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'general_transcriptomics']","['spatial_transcriptomics', 'transcriptomics']",Nervous System (Brain/CNS),,Rodent
10.1242/dev.201972,37840454,An interactive resource of molecular signalling in the developing human haematopoietic stem cell niche.,application,relevant,Human haematopoietic stem cell development in the AGM region,"['spatial transcriptomics', 'snRNA-seq']",weak_llm_annotated,2025-06-27T10:53:57.990213,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,Analyze the progression of dorso-ventral polarised signalling in the human AGM region during HSC emergence (CS13-CS17) using spatial transcriptomics. Identify stage-specific changes in signalling and provide an online interactive resource of molecular signalling data.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-nucleus_RNA-seq(snRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Embryonic/Developmental Stage,,Human
10.1186/s12943-023-01876-x,37833788,Pan-cancer spatially resolved single-cell analysis reveals the crosstalk between cancer-associated fibroblasts and tumor microenvironment.,application,relevant,Pan-cancer (multiple common and rare cancer types) focusing on Cancer-associated fibroblasts and Tumor Microenvironment,"['spatial transcriptomics', 'single-cell RNA sequencing', 'sequencing']",weak_llm_annotated,2025-06-27T10:54:42.245965,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Integrated Analysis', 'Spatial Distribution Analysis', 'Cell-Cell Interaction Analysis', 'Clustering']",N/A,To identify functional subgroups of cancer-associated fibroblasts (CAFs) and their spatial distribution across multiple cancer types using integrated spatial and single-cell transcriptomics. To analyze the spatially-resolved crosstalk between CAFs and the tumor microenvironment (TME) and investigate CAF roles in immunotherapy response. To provide a web interface for exploring pan-cancer CAF data.,[],Not mentioned,https://chenxisd.shinyapps.io/pancaf/,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)', 'other_methods']","['spatial_transcriptomics', 'transcriptomics', 'other_methods']",,Cancer (General),
10.1126/science.adf1226,37824650,Comprehensive cell atlas of the first-trimester developing human brain.,application,relevant,First-trimester developing human brain,"['single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-27T10:55:59.786328,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"To build a comprehensive cell atlas of the first-trimester developing human brain using single-cell RNA sequencing and spatial transcriptomics. The study aims to reveal cell states, trajectories, and their spatial organization to understand early brain development.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Nervous System (Brain/CNS),,Human
10.1161/ATVBAHA.123.319329,37823268,Single-Molecule Spatial Transcriptomics of Human Thoracic Aortic Aneurysms Uncovers Calcification-Related <i>CARTPT</i>-Expressing Smooth Muscle Cells.,application,relevant,Human thoracic aortic aneurysm (TAA) and controls,"['single-molecule spatial transcriptomics', 'immunohistochemistry', 'histology images']",weak_llm_annotated,2025-06-27T10:56:21.195934,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"The study aims to apply high-resolution single-molecule spatial transcriptomics to human thoracic aortic aneurysm (TAA) tissue to uncover spatially distinct cell subtypes. It identifies a CARTPT-expressing smooth muscle cell (SMC) subtype enriched in male TAA samples. Functional studies explore the role of CART in promoting an osteochondrogenic switch in aortic SMCs, suggesting a potential link to medial calcification.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Immunohistochemistry(IHC)', 'Histology_Images']","['spatial_transcriptomics', 'histology', 'spatial_proteomics']",Vascular,,Human
10.1016/j.celrep.2023.113236,37819756,Stomach encyclopedia: Combined single-cell and spatial transcriptomics reveal cell diversity and homeostatic regulation of human stomach.,application,relevant,"Healthy human stomach, gastric and metaplastic cells, intestinal metaplasia","['scRNA-seq', 'spatial transcriptomics']",weak_llm_annotated,2025-06-27T10:56:31.924317,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis', 'Clustering', 'Integration with other omics']",N/A,To reveal cell diversity and homeostatic regulation of the human stomach using combined single-cell and spatial transcriptomics. To construct a large dataset ('stomach encyclopedia') and identify new cell markers and cell-cell interactions. To provide a fundamental resource for future stomach research.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Gastrointestinal_other,Normal/Healthy,Human
10.1038/s41467-023-41944-w,37816738,Multi-species atlas resolves an axolotl limb development and regeneration paradox.,application,relevant,"Axolotl limb development and regeneration, multi-species comparison","['single-cell transcriptomics', 'spatial transcriptomics']",weak_llm_annotated,2025-06-27T10:57:38.957901,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"The main goals are to establish the presence of AER-like cells in axolotls, analyze their re-formation during limb regeneration using spatial transcriptomics, investigate the mesoderm's contribution, and resolve the debate surrounding the axolotl AER in limb development and regeneration.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'general_transcriptomics']","['spatial_transcriptomics', 'transcriptomics']",Bone/Joint,Vegetal/otherNA,
10.24976/Discov.Med.202335178.86,37811629,Spatial Heterogeneity of Integrins and Their Ligands in Primary Breast Tumors.,application,relevant,Primary breast tumors / breast cancer,"['Visium', 'spatial transcriptomics', 'histology images']",weak_llm_annotated,2025-06-27T10:59:26.118718,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Cell-Cell Interaction Analysis', 'Clustering', 'Visualization']",NICHES,Characterize the morphological and spatial heterogeneity of primary breast tumors. Study the spatial expression profiles of integrins and their ligands using spatial transcriptomics and the NICHES algorithm to map ligand-receptor signaling and visualize heterogeneity. Investigate inter- and intra-tumoral heterogeneity in the context of integrin-ligand functional clusters.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images', '10x_Genomics_Visium']","['spatial_transcriptomics', 'histology']",Breast,Cancer (General),
10.1016/j.isci.2023.107699,37810252,Spatial downregulation of CD74 signatures may drive invasive component development in part-solid lung adenocarcinoma.,application,relevant,Lung adenocarcinoma progression in part-solid nodules,"['spatial transcriptomics', 'snRNA-seq', 'histology images']",weak_llm_annotated,2025-06-27T11:00:09.752988,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"To define the spatial composition and evolutionary trajectories of early-stage lung adenocarcinoma using spatial transcriptomics and single-cell RNA sequencing. The study identified malignant cell populations, their evolutionary relationship, spatial immune infiltration patterns, and suggested a role for the CD74 axis in immune escape.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images', 'Single-nucleus_RNA-seq(snRNA-seq)']","['spatial_transcriptomics', 'histology', 'transcriptomics']",Lung,Cancer (General),
10.1101/2023.09.29.560114,37808657,Cell type-specific gene expression dynamics during human brain maturation.,application,relevant,Human brain maturation (temporal lobe),"['snRNA-seq', 'spatial transcriptomics']",weak_llm_annotated,2025-06-27T11:00:45.002435,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,To build a joint paediatric and adult cell type atlas of the human temporal lobe using snRNA-seq and spatial transcriptomics. To explore cell type-specific gene expression dynamics and identify differences between paediatric and adult cell types during brain maturation. To provide resources that improve understanding of brain development.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-nucleus_RNA-seq(snRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Nervous System (Brain/CNS),,Human
10.1002/path.6196,37792663,Transcriptomics and proteomics reveal distinct biology for lymph node metastases and tumour deposits in colorectal cancer.,application,relevant,Colorectal cancer,"['spatial transcriptomics', 'proteomics', 'image-based analysis']",weak_llm_annotated,2025-06-27T11:03:19.833296,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Deconvolution', 'Differential Expression Analysis', 'Classification']",N/A,To compare the biology of lymph node metastases (LNMs) and tumour deposits (TDs) in colorectal cancer using spatial transcriptomics and proteomics. The study aimed to identify differences in molecular profiles and microenvironment composition to understand their role in cancer spread and prognosis.,[],Not mentioned,N/A,,,,,"['general_proteomics', 'general_spatial_transcriptomics', 'analysis_related_terms']","['spatial_transcriptomics', 'proteomics', 'analysis_related_terms']",Gastrointestinal_colorectal,Cancer (General),
10.1186/s12943-023-01863-2,37789377,Spatial transcriptomic analysis of virtual prostate biopsy reveals confounding effect of tissue heterogeneity on genomic signatures.,application,relevant,Prostate cancer,['spatial transcriptomics'],weak_llm_annotated,2025-06-27T11:03:58.155853,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Spatial Domain Identification', 'Pseudo-bulk analysis']",N/A,"To analyze prognostic genetic signatures using virtual prostate biopsy models derived from spatial transcriptomic data. The study demonstrates how tissue heterogeneity (benign, stroma, tumour subtype, grade, clone) within virtual biopsies confounds results from bulk genomic analyses compared to spatially resolved analysis, highlighting limitations of current clinical biopsy genomics.",[],Not mentioned,N/A,,,,,['general_spatial_transcriptomics'],['spatial_transcriptomics'],Prostate,Cancer (General),
10.1016/j.biomaterials.2023.122314,37776766,Combined near infrared photoacoustic imaging and ultrasound detects vulnerable atherosclerotic plaque.,application,relevant,"Atherosclerosis, vulnerable plaque","['near infrared photoacoustic imaging', 'ultrasound imaging', 'immunohistochemistry', 'spatial transcriptomics', 'spatial proteomics']",weak_llm_annotated,2025-06-27T11:06:51.965145,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"The paper aims to demonstrate the potential of combined near infrared photoacoustic imaging and ultrasound to detect vulnerable atherosclerotic plaque. It also seeks to determine the origin of the photoacoustic signal using spatial transcriptomics and proteomics, establishing a methodology for fusing molecular imaging with spatial omics.",[],Not mentioned,N/A,,,,,"['irrelevant_terms', 'general_spatial_transcriptomics', 'general_spatial_proteomics', 'Immunohistochemistry(IHC)', 'other_methods']","['spatial_transcriptomics', 'irrelevant_terms', 'spatial_proteomics', 'other_methods']",Vascular,,
10.1093/neuonc/noad173,37772937,Integrating single-cell and spatial transcriptomics reveals endoplasmic reticulum stress-related CAF subpopulations associated with chordoma progression.,application,relevant,Chordoma,"['scRNA-seq', 'spatial transcriptomics', 'bulk RNA-seq', 'multiplexed imaging']",weak_llm_annotated,2025-06-27T11:07:30.548633,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Clustering', 'Trajectory Inference', 'Cell-Cell Interaction Analysis', 'Integration with other omics', 'Spatial Domain Identification', 'Spatial Gene Expression Analysis']",N/A,"This paper dissects the heterogeneity, spatial distribution, and clinical implication of cancer-associated fibroblasts (CAFs) in chordoma using multi-omics data, including scRNA-seq and spatial transcriptomics. It identifies an endoplasmic reticulum stress (ERS)-related CAF subpopulation in recurrent tumors associated with poor prognosis. The study also demonstrates the spatial existence of these ERS-CAFs close to tumor cells, correlating this proximity and density with tumor malignant phenotype and adverse patient outcomes.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Bulk_RNAseq', 'irrelevant_terms', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'irrelevant_terms', 'transcriptomics']",Bone/Joint,,
10.1186/s40478-023-01639-1,37770931,"Integration of single-nuclei RNA-sequencing, spatial transcriptomics and histochemistry defines the complex microenvironment of NF1-associated plexiform neurofibromas.",application,relevant,NF1-associated plexiform neurofibromas (PN),"['snRNA-seq', 'spatial transcriptomics', 'immunohistochemistry', 'histology images']",weak_llm_annotated,2025-06-27T11:07:51.793970,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Clustering', 'Cell-Cell Interaction Analysis', 'Integration with other omics', 'Spatial Domain Identification']",N/A,"To define the complex microenvironment of NF1-associated plexiform neurofibromas (PN) by integrating single-nuclei RNA-sequencing, spatial transcriptomics, and histochemistry. The study aims to chart cellular heterogeneity, provide spatial context, and identify potential cell-cell communication pathways driving disease progression.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Immunohistochemistry(IHC)', 'Single-nucleus_RNA-seq(snRNA-seq)', 'Histology_Images']","['spatial_transcriptomics', 'histology', 'spatial_proteomics', 'transcriptomics']",,,
10.1136/gutjnl-2023-330748,37758326,Molecular portraits of patients with intrahepatic cholangiocarcinoma who diverge as rapid progressors or long survivors on chemotherapy.,application,relevant,Intrahepatic cholangiocarcinoma (iCCA),"['digital pathology', 'whole-transcriptome profiling', 'spatial transcriptomics', 'targeted digital spatial profiling (GeoMx)', 'single cell RNA-sequencing']",weak_llm_annotated,2025-06-27T11:09:08.193668,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Gene Expression Analysis', 'Spatial Analysis', 'Survival Analysis']",N/A,"This paper aims to identify pretreatment molecular profiles (transcriptome signatures) in diagnostic biopsies that predict chemotherapy outcome in advanced iCCA patients, differentiating rapid progressors from long survivors. It investigates the biological bases of innate chemoresistance, focusing on tumor-myeloid dynamics and the liver microenvironment, and proposes the identified signature as a potential metric for chemotherapy outcome.",[],Not mentioned,N/A,,,,,"['irrelevant_terms', 'general_spatial_transcriptomics', 'general_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)', 'GeoMx_Digital_Spatial_Profiling']","['spatial_transcriptomics', 'irrelevant_terms', 'transcriptomics', 'spatial multiomics']",Liver,,
10.1038/s41467-023-41608-9,37752124,Tracing immune cells around biomaterials with spatial anchors during large-scale wound regeneration.,application,relevant,Wound regeneration and scarring in mice using biomaterials,"['single-cell RNA sequencing', 'spatial transcriptomics', 'multimodal analysis']",weak_llm_annotated,2025-06-27T11:09:53.170128,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"To investigate immune responses around biodegradable aligned extracellular matrix scaffolds during large-area wound regeneration using multimodal analysis including scRNA-seq and spatial transcriptomics. The study aims to understand the role of immune cells, particularly regulatory T cells and macrophages, in mitigating tissue fibrosis and promoting wound healing and hair follicle neogenesis.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)', 'analysis_related_terms']","['spatial_transcriptomics', 'analysis_related_terms', 'transcriptomics']",,Wound Healing/Scarring,Rodent
10.1038/s41587-023-01956-9,37709912,Self-organizing models of human trunk organogenesis recapitulate spinal cord and spine co-morphogenesis.,application,relevant,"Human trunk organogenesis, spinal cord and spine development","['spatial transcriptomics', 'single-cell transcriptomics']",weak_llm_annotated,2025-06-27T11:20:02.655366,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Spatial Domain Identification']",N/A,"To generate human trunk-like organoids recapitulating spinal cord and spine co-morphogenesis. To use single-cell and spatial transcriptomics to demonstrate the spatial organization, patterning, and differentiation of tissues along an antero-posterior axis in these organoids. To show that in vivo-like multi-tissue organization can be achieved in human organoids.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'general_transcriptomics']","['spatial_transcriptomics', 'transcriptomics']",Nervous System (Brain/CNS),,Human
10.1038/s41698-023-00444-2,37704757,Deep spatial-omics analysis of Head & Neck carcinomas provides alternative therapeutic targets and rationale for treatment failure.,application,relevant,Head and Neck Oropharyngeal Squamous Cell Carcinomas (OPSCCs),"['spatial transcriptomics', 'spatial proteomics', 'multiplexed imaging']",weak_llm_annotated,2025-06-27T11:20:54.477805,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Domain Identification', 'Clustering', 'Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis']",N/A,"To perform deep spatial-omics analysis of Head & Neck carcinomas, specifically p16+ OPSCC, to identify alternative therapeutic targets and understand treatment failure. The study uses spatial transcriptomics and spatial proteomics to analyze tumor cells and immune cell profiles in a patient failing ICI and Lenvatinib therapies.",[],Not mentioned,N/A,,,,,"['general_spatial_proteomics', 'general_spatial_transcriptomics', 'irrelevant_terms']","['spatial_transcriptomics', 'irrelevant_terms', 'spatial_proteomics']",Oral/Pharyngeal/Head & Neck,,
10.1073/pnas.2310163120,37703282,Spatial transcriptomics reveals light-induced chlorenchyma cells involved in promoting shoot regeneration in tomato callus.,application,relevant,Tomato callus shoot regeneration,['spatial transcriptomics'],weak_llm_annotated,2025-06-27T11:21:06.780327,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Spatial Domain Identification', 'Clustering']",N/A,"This study explores the spatial transcriptome of tomato callus during shoot regeneration to understand the molecular basis of the process. It reveals cellular heterogeneity within the callus, identifies key factors for shoot primordia formation, and highlights the role of light-induced chlorenchyma cells in promoting regeneration.",[],Not mentioned,N/A,,,,,['general_spatial_transcriptomics'],['spatial_transcriptomics'],,,
10.1038/s41698-023-00441-5,37696903,High risk clear cell renal cell carcinoma microenvironments contain protumour immunophenotypes lacking specific immune checkpoints.,application,relevant,High risk clear cell renal cell carcinoma (ccRCC),"['spatial transcriptomics', 'snRNA-seq', 'sequencing']",weak_llm_annotated,2025-06-27T11:22:23.523630,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,To define the tumour infiltrating immunophenotypes within the clear cell renal cell carcinoma (ccRCC) tumour microenvironment (TME) using spatial transcriptomics and other sequencing data. The study aims to identify predictive immunophenotypes and understand why perioperative immune checkpoint inhibitor (ICI) trials for ccRCC have failed. Findings reveal high-risk ccRCC TMEs contain protumour immunophenotypes lacking specific checkpoint gene expression.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-nucleus_RNA-seq(snRNA-seq)', 'other_methods']","['spatial_transcriptomics', 'transcriptomics', 'other_methods']",Kidney,Cancer (General),
10.1016/j.cub.2023.08.030,37683643,Spatial transcriptomics of a lycophyte root sheds light on root evolution.,application,relevant,Lycophyte root evolution in Selaginella moellendorffii,['spatial transcriptomics'],weak_llm_annotated,2025-06-27T11:25:35.463430,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,['Spatial Gene Expression Analysis'],N/A,"This study uses spatial transcriptomics to investigate root evolution and development in the lycophyte Selaginella moellendorffii. It aims to compare gene expression patterns in lycophyte roots to those in seed plants, analyze the roles of specific genes (SHR, SCR, WOX13a) in root tissue organization and root cap formation, and provide a spatial data resource for the Selaginella root.",[],Not mentioned,N/A,,,,,['general_spatial_transcriptomics'],['spatial_transcriptomics'],,,
10.1371/journal.pone.0291023,37682902,Helicase-like transcription factor (HLTF)-deleted CDX/TME model of colorectal cancer increased transcription of oxidative phosphorylation genes and diverted glycolysis to boost S-glutathionylation in lymphatic intravascular metastatic niches.,application,relevant,Colorectal cancer (CRC) in a cell line-derived xenograft (CDX) model with tumor microenvironment (TME),"['RNAseq', 'spatial transcriptomics', 'confocal microscopy', '2D DIGE', 'MALDI-TOF/TOF mass spectrometry']",weak_llm_annotated,2025-06-27T11:25:46.935628,models/gemini-2.5-flash-preview-04-17,False,False,N/A,N/A,[],N/A,"This paper investigates the metabolic reprogramming induced by HLTF deletion in colorectal cancer cells and the tumor microenvironment within a CDX model. It shows that HLTF deletion leads to increased OXPHOS and altered glycolysis supporting S-glutathionylation, which helps mitigate oxidative stress in lymphatic metastatic niches and promotes metastasis.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'general_transcriptomics', 'other_imaging', 'other_methods']","['spatial_transcriptomics', 'transcriptomics', 'other_methods']",Gastrointestinal_colorectal,Cancer (General),Rodent
10.1101/2023.08.21.554174,37662287,Spatiotemporal molecular dynamics of the developing human thalamus.,application,relevant,Developing human thalamus,"['single cell transcriptomics', 'multiplexed spatial transcriptomics', 'spatial transcriptomics']",weak_llm_annotated,2025-06-27T11:28:49.681399,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"To delineate the molecular trajectories of cell fate specification and organization in the developing human thalamus using single cell and multiplexed spatial transcriptomics. The study identified that molecularly-defined thalamic neurons differentiate in the second trimester and organize into spatially and molecularly distinct nuclei, detailing glutamatergic and GABAergic neuron subtypes.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'general_transcriptomics', 'GeoMx_Digital_Spatial_Profiling']","['spatial_transcriptomics', 'transcriptomics', 'spatial multiomics']",,,Human
10.1002/ijc.34708,37655984,Spatial whole transcriptome profiling of primary tumor from patients with metastatic prostate cancer.,application,relevant,Metastatic prostate cancer,['spatial transcriptomics'],weak_llm_annotated,2025-06-27T11:29:07.529602,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Clustering']",N/A,"To explore spatial gene expression heterogeneity within primary prostate tumors from patients with metastatic disease using spatial transcriptomics. The study identified T cell clusters potentially mediating aggressive phenotypes in CRPC and immune-stroma cross-talk in NEPC, with potential prognostic biomarker implications.",[],Not mentioned,N/A,,,,,['general_spatial_transcriptomics'],['spatial_transcriptomics'],Prostate,Cancer (General),
10.1172/JCI169314,37655659,Immune checkpoint blockade induces distinct alterations in the microenvironments of primary and metastatic brain tumors.,application,relevant,Brain metastases and glioblastoma treatment with immune checkpoint blockade,"['single-cell RNA-Seq', 'multiplex immunofluorescence', 'spatial transcriptomics', 'scRNA-Seq']",weak_llm_annotated,2025-06-27T11:29:13.434256,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study compares the immune cellular landscape and microenvironmental changes induced by immune checkpoint blockade (ICB) in brain metastases (BrM) versus recurrent glioblastoma (rGBM). It reveals distinct T cell infiltration patterns and macrophage populations in BrM after ICB, offering insights into improving ICB efficacy for brain tumor patients.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Immunofluorescence(IF)', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'spatial_proteomics', 'transcriptomics']",Nervous System (Brain/CNS),Cancer (General),
10.1016/j.devcel.2023.08.017,37652013,Defining the identity and the niches of epithelial stem cells with highly pleiotropic multilineage potency in the human thymus.,application,relevant,Human thymus epithelial stem cells,"['single-cell resolution', 'in vitro culture', 'spatial phenotyping', 'spatial transcriptomics', '3D imaging']",weak_llm_annotated,2025-06-27T11:29:19.540281,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Spatial Domain Identification', 'Clustering', 'Cell Differentiation']",N/A,"This study defines specific epithelial populations in the human thymus at single-cell resolution, identifying thymic epithelial stem cells with pleiotropic multilineage potency. It characterizes their transcriptional profile, phenotypic traits, and niches, demonstrating their long-term clonal expansion and self-organizing capacity in vitro. The findings expand knowledge of stem cell biology and offer avenues for addressing thymic atrophy.",[],Not mentioned,N/A,,,,,"['irrelevant_terms', 'Histology_Images', 'general_spatial_transcriptomics']","['spatial_transcriptomics', 'irrelevant_terms', 'histology']",,,Human
10.1172/jci.insight.171701,37651193,A lipid-associated macrophage lineage rewires the spatial landscape of adipose tissue in early obesity.,application,relevant,Early obesity and adipose tissue dysfunction,"['single-cell RNA-Seq', 'spatial transcriptomics', 'imaging']",weak_llm_annotated,2025-06-27T11:29:37.035201,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study investigates the spatial distribution and dynamics of macrophage populations in adipose tissue during early diet-induced obesity. It integrates single-cell RNA-Seq, spatial transcriptomics, and imaging to identify a precursor population to lipid-associated macrophages (pre-LAMs) and their spatial association with adipose tissue dysfunction. The findings refine understanding of macrophage diversity in obesity and highlight lipid signaling pathways involved in their development.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'irrelevant_terms', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'irrelevant_terms', 'transcriptomics']",Adipose Tissue,,
10.1111/cup.14524,37649312,Spatial transcriptomics of a giant pilomatricoma.,application,relevant,Pilomatricoma (a benign adnexal tumor),"['spatial transcriptomics', 'gene expression profiling', 'histology images']",weak_llm_annotated,2025-06-27T11:29:48.820536,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Clustering', 'Gene Expression Profiling']",N/A,"This paper describes the case of a giant pilomatricoma and characterizes its spatial gene expression profile using 10X spatial transcriptomics. The analysis revealed distinct transcriptomic clusters within the tumor, each with unique patterns related to hair follicle factors, keratin expression, and beta-catenin pathway activity.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images', 'general_transcriptomics']","['spatial_transcriptomics', 'histology', 'transcriptomics']",,Cancer (General),
